
название,артикул,цена,категория,описание,остаток
"Компрессор СБ4/С-50.АВ365 А",УТ-00004800,580,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 50л 2/1 385л/мин 10бар 2.2кВт 220В 63кг 850х450х870мм",5
"Компрессор СБ4/С-50.АВ365",УТ-00004799,635,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 50л 2/1 385л/мин 10бар 2.2кВт 380В 70кг 850х450х870мм",5
"Компрессор СБ4/С-100.АВ365 А",УТ-00004804,620,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 100л 2/1 385л/мин 10бар 2.2кВт 220В 85кг 1150х500х950мм",3
"Компрессор СБ4/С-100.АВ365",УТ-00004805,680,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 100л 2/1 385л/мин 10бар 2.2кВт 380В 79кг 1150х500х950мм",3
"Компрессор СБ4/С-100.АВ470",УТ-00004806,720,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 100л 2/1 510л/мин 10бар 3кВт 380В 98кг 1150х500х950мм",4
"Компрессор СБ4/С-200.АВ470",УТ-00004811,880,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 200л 2/1 510л/мин 10бар 3кВт 380В 147кг 1560х640х1250мм",2
"Компрессор СБ4/С-100.АВ790",УТ-00004798,1080,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 100л 2/1 720л/мин 10бар 4кВт 380В 152кг 1150х550х1130мм",2
"Компрессор СБ4/С-270.АВ790",УТ-00004802,1225,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 270л 2/1 720л/мин 10бар 4кВт 380В 215кг 1700х660х1250мм",1
"Компрессор СБ4/С-100.АВ890",УТ-00004797,1231,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 100л 2/1 830л/мин 10бар 5.5кВт 380В 152кг 1150х550х1230мм",2
"Компрессор СБ4/Φ-270.АВ890",УТ-00004803,1465,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 270л 2/1 830л/мин 10бар 5.5кВт 380В 215кг 1700х660х1250мм",1
"Компрессор СБ4/Φ-500.АВ890",УТ-00004801,1581,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 500л 2/1 830л/мин 10бар 5.5кВт 380В 323кг 2050х610х1320мм",1
"Компрессор СБ4/Φ-500.АВ998",УТ-00004812,2355,"Компрессоры с горизонтальным расположением ресивера","Компрессор с горизонтальным расположением ресивера 500л 2/2 1100л/мин 10бар 7.5кВт 380В 323кг 2050х610х1320мм",1
"Компрессор СБ4/С-100.АВ365В А",УТ-00004813,715,"Компрессоры с вертикальным расположением ресивера","Компрессор с вертикальным расположением ресивера 100л 2/1 385л/мин 10бар 2.2кВт 220В 111кг 600х560х1360мм",3
"Компрессор СБ4/С-100.АВ365В",УТ-00004814,770,"Компрессоры с вертикальным расположением ресивера","Компрессор с вертикальным расположением ресивера 100л 2/1 385л/мин 10бар 2.2кВт 380В 118кг 600х560х1360мм",3
"Компрессор СБ4/С-100.АВ470В",УТ-00004815,948,"Компрессоры с вертикальным расположением ресивера","Компрессор с вертикальным расположением ресивера 100л 2/1 510л/мин 10бар 3кВт 380В 127кг 600х560х1360мм",2
"Компрессор СБ4/Φ-270.АВ790В",УТ-00004808,1209,"Компрессоры с вертикальным расположением ресивера","Компрессор с вертикальным расположением ресивера 270л 2/1 720л/мин 10бар 4кВт 380В 249кг 850х700х1900мм",1
"Компрессор СБ4/Φ-270.АВ890В",УТ-00004807,1377,"Компрессоры с вертикальным расположением ресивера","Компрессор с вертикальным расположением ресивера 270л 2/1 830л/мин 10бар 5.5кВт 380В 249кг 850х700х1900мм",1
