
Артикул,Наименование,Цена,Валюта,Категория,Описание,Изображение
УТ-00048813,СБ4/С-100.АВ365В А,715,RUB,Компрессоры с вертикальным расположением ресивера,"Компрессор с вертикальным расположением ресивера, 100 л, 2/1 ц/ст",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3
УТ-00048814,СБ4/С-100.АВ365В,770,RUB,Компрессоры с вертикальным расположением ресивера,"Компрессор с вертикальным расположением ресивера, 100 л, 2/1 ц/ст",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3
УТ-00048815,СБ4/С-100.АВ470В,948,RUB,Компрессоры с вертикальным расположением ресивера,"Компрессор с вертикальным расположением ресивера, 100 л, 2/1 ц/ст",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3
УТ-00048808,СБ4/Ф-270.АВ790В,1209,RUB,Компрессоры с вертикальным расположением ресивера,"Компрессор с вертикальным расположением ресивера, 270 л, 2/1 ц/ст",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3
УТ-00048807,СБ4/Ф-270.АВ890В,1377,RUB,Компрессоры с вертикальным расположением ресивера,"Компрессор с вертикальным расположением ресивера, 270 л, 2/1 ц/ст",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3
"SENIX-SLS-FLCR32,100","Лазерный дальномер FLCR32,100",2990,RUB,Измерительные инструменты,"Лазерный дальномер с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR32-30,Лазерный дальномер FLCR32-30,2490,RUB,Измерительные инструменты,"Лазерный дальномер с дальностью измерения до 30 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR32-50,Лазерный дальномер FLCR32-50,2790,RUB,Измерительные инструменты,"Лазерный дальномер с дальностью измерения до 50 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR32-80,Лазерный дальномер FLCR32-80,2890,RUB,Измерительные инструменты,"Лазерный дальномер с дальностью измерения до 80 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR32-120,Лазерный дальномер FLCR32-120,3290,RUB,Измерительные инструменты,"Лазерный дальномер с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR40-40,Лазерный дальномер FLCR40-40,3490,RUB,Измерительные инструменты,"Лазерный дальномер FLCR40 с дальностью измерения до 40 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR40-60,Лазерный дальномер FLCR40-60,3790,RUB,Измерительные инструменты,"Лазерный дальномер FLCR40 с дальностью измерения до 60 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR40-80,Лазерный дальномер FLCR40-80,3990,RUB,Измерительные инструменты,"Лазерный дальномер FLCR40 с дальностью измерения до 80 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR40-100,Лазерный дальномер FLCR40-100,4290,RUB,Измерительные инструменты,"Лазерный дальномер FLCR40 с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR40-120,Лазерный дальномер FLCR40-120,4590,RUB,Измерительные инструменты,"Лазерный дальномер FLCR40 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR50-50,Лазерный дальномер FLCR50-50,4990,RUB,Измерительные инструменты,"Лазерный дальномер FLCR50 с дальностью измерения до 50 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR50-80,Лазерный дальномер FLCR50-80,5290,RUB,Измерительные инструменты,"Лазерный дальномер FLCR50 с дальностью измерения до 80 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR50-100,Лазерный дальномер FLCR50-100,5590,RUB,Измерительные инструменты,"Лазерный дальномер FLCR50 с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR50-120,Лазерный дальномер FLCR50-120,5890,RUB,Измерительные инструменты,"Лазерный дальномер FLCR50 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR60-60,Лазерный дальномер FLCR60-60,6290,RUB,Измерительные инструменты,"Лазерный дальномер FLCR60 с дальностью измерения до 60 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR60-80,Лазерный дальномер FLCR60-80,6590,RUB,Измерительные инструменты,"Лазерный дальномер FLCR60 с дальностью измерения до 80 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR60-100,Лазерный дальномер FLCR60-100,6890,RUB,Измерительные инструменты,"Лазерный дальномер FLCR60 с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR60-120,Лазерный дальномер FLCR60-120,7190,RUB,Измерительные инструменты,"Лазерный дальномер FLCR60 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR80-80,Лазерный дальномер FLCR80-80,7590,RUB,Измерительные инструменты,"Лазерный дальномер FLCR80 с дальностью измерения до 80 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR80-100,Лазерный дальномер FLCR80-100,7890,RUB,Измерительные инструменты,"Лазерный дальномер FLCR80 с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR80-120,Лазерный дальномер FLCR80-120,8190,RUB,Измерительные инструменты,"Лазерный дальномер FLCR80 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR100-100,Лазерный дальномер FLCR100-100,8590,RUB,Измерительные инструменты,"Лазерный дальномер FLCR100 с дальностью измерения до 100 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR100-120,Лазерный дальномер FLCR100-120,8890,RUB,Измерительные инструменты,"Лазерный дальномер FLCR100 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR120-120,Лазерный дальномер FLCR120-120,9290,RUB,Измерительные инструменты,"Лазерный дальномер FLCR120 с дальностью измерения до 120 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR150-150,Лазерный дальномер FLCR150-150,9990,RUB,Измерительные инструменты,"Лазерный дальномер FLCR150 с дальностью измерения до 150 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-SLS-FLCR200-200,Лазерный дальномер FLCR200-200,11990,RUB,Измерительные инструменты,"Лазерный дальномер FLCR200 с дальностью измерения до 200 метров",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Drill-HSS-1.0,Сверло по металлу HSS 1.0мм,85,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 1.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-1.5,Сверло по металлу HSS 1.5мм,90,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 1.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-2.0,Сверло по металлу HSS 2.0мм,95,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 2.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-2.5,Сверло по металлу HSS 2.5мм,100,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 2.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-3.0,Сверло по металлу HSS 3.0мм,105,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 3.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-3.5,Сверло по металлу HSS 3.5мм,110,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 3.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-4.0,Сверло по металлу HSS 4.0мм,115,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 4.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-4.5,Сверло по металлу HSS 4.5мм,120,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 4.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-5.0,Сверло по металлу HSS 5.0мм,125,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 5.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-5.5,Сверло по металлу HSS 5.5мм,130,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 5.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-6.0,Сверло по металлу HSS 6.0мм,135,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 6.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
